Price,Close,High,Low,Open,Volume
Ticker,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD
Date,,,,,
2022-06-17,1.2068220376968384,1.2848609685897827,1.2059509754180908,1.2133389711380005,58326
2022-06-18,0.9729009866714478,1.2918360233306885,0.9238010048866272,1.2067999839782715,64153
2022-06-19,0.9798120260238647,0.9836699962615967,0.939765989780426,0.9728909730911255,60247
2022-06-20,0.9917349815368652,1.2104979753494263,0.9796050190925598,0.9797899723052979,56853
2022-06-21,1.0960479974746704,1.10391104221344,0.9916009902954102,0.9917479753494263,57837
2022-06-22,1.1460239887237549,1.1568759679794312,1.0939879417419434,1.0960479974746704,74305
2022-06-23,1.151047945022583,1.2121150493621826,1.1439729928970337,1.1460249423980713,69347
2022-06-24,1.1602009534835815,1.1622660160064697,1.150189995765686,1.1510239839553833,75778
2022-06-25,1.175860047340393,1.1759190559387207,1.159608006477356,1.1602139472961426,73854
2022-06-26,1.1936880350112915,1.2029459476470947,1.1726289987564087,1.1758639812469482,74390
2022-06-27,1.1878520250320435,1.3097679615020752,1.0454699993133545,1.1937600374221802,59188
2022-06-28,1.2247990369796753,1.2264189720153809,1.1831450462341309,1.1878650188446045,69274
2022-06-29,1.2123019695281982,1.298969030380249,1.2122399806976318,1.2248140573501587,66828
2022-06-30,1.1569219827651978,1.2169890403747559,1.024938941001892,1.212306022644043,72750
2022-07-01,1.2141920328140259,1.2202190160751343,1.156919002532959,1.1569689512252808,66038
2022-07-02,1.2128839492797852,1.2193349599838257,1.2124910354614258,1.2141779661178589,74740
2022-07-03,1.212237000465393,1.2165709733963013,1.2105109691619873,1.2128759622573853,67140
2022-07-04,1.183905005455017,1.2149360179901123,1.1819839477539062,1.2122279405593872,56797
2022-07-05,1.1981799602508545,1.1995329856872559,1.1798820495605469,1.1839170455932617,64254
2022-07-06,1.2033649682998657,1.204584002494812,1.1612540483474731,1.1981849670410156,61695
2022-07-07,1.2123039960861206,1.2132439613342285,1.1593849658966064,1.203354001045227,54779
2022-07-08,1.2312949895858765,1.2336970567703247,1.2115010023117065,1.2122609615325928,52131
2022-07-09,1.2313979864120483,1.2395639419555664,1.2283170223236084,1.2312999963760376,67187
2022-07-10,1.2179900407791138,1.2351850271224976,1.1674920320510864,1.2313979864120483,60148
2022-07-11,1.2066270112991333,1.220078945159912,1.2024199962615967,1.2179800271987915,63048
2022-07-12,1.195673942565918,1.2071930170059204,1.1919339895248413,1.2066270112991333,62890
2022-07-13,1.1977519989013672,1.2021770477294922,1.1944350004196167,1.1956729888916016,55349
2022-07-14,1.184973955154419,1.2001219987869263,1.1580499410629272,1.1977640390396118,51332
2022-07-15,1.2195940017700195,1.219743013381958,1.1849479675292969,1.1849479675292969,55535
2022-07-16,1.2473299503326416,1.2585580348968506,1.2137019634246826,1.219588041305542,59183
2022-07-17,1.2725199460983276,1.2729909420013428,1.2454630136489868,1.2473360300064087,50921
2022-07-18,1.2660880088806152,1.2771899700164795,1.2563029527664185,1.2725110054016113,61377
2022-07-19,1.2987810373306274,1.3480199575424194,1.2660939693450928,1.2660980224609375,66967
2022-07-20,1.2758220434188843,1.3029780387878418,1.1815379858016968,1.2987860441207886,59061
2022-07-21,1.2861100435256958,1.300057053565979,1.24065101146698,1.2758029699325562,68014
2022-07-22,1.2727550268173218,1.3247569799423218,1.2727550268173218,1.2861119508743286,70602
2022-07-23,1.2972819805145264,1.307492971420288,1.2675880193710327,1.2727550268173218,84930
2022-07-24,1.2925679683685303,1.3067829608917236,1.2840009927749634,1.2972790002822876,69599
2022-07-25,1.2502919435501099,1.2935329675674438,0.9400439858436584,1.292570948600769,99431
2022-07-26,1.1968669891357422,1.250298023223877,1.1862820386886597,1.250298023223877,116361
2022-07-27,1.1330759525299072,1.212514042854309,1.0985939502716064,1.1968679428100586,68347
2022-07-28,1.1932320594787598,1.2030370235443115,1.1238600015640259,1.1330920457839966,65383
2022-07-29,0.9583979845046997,1.2190380096435547,0.9547600150108337,1.1932380199432373,73523
2022-07-30,1.1339800357818604,1.2705800533294678,0.954721987247467,0.9583969712257385,49866
2022-07-31,1.0832550525665283,1.2713379859924316,0.9547510147094727,1.133970022201538,50186
2022-08-01,1.0843160152435303,1.0929540395736694,0.9560800194740295,1.0832489728927612,65059
2022-08-02,1.0853040218353271,1.235988974571228,0.9546470046043396,1.0843230485916138,60732
2022-08-03,1.1076970100402832,1.111111044883728,0.9546290040016174,1.0852919816970825,46237
